# l C_l D_l
2.120000000000000000e+02 2.455995093889601435e+02 1.765074703955552308e+06
2.130000000000000000e+02 2.586002711231112698e+02 1.876041686191310408e+06
2.140000000000000000e+02 2.718041707767010848e+02 1.990345547050181543e+06
2.150000000000000000e+02 2.851999778064349584e+02 2.107957400873817503e+06
2.160000000000000000e+02 2.987764343731043937e+02 2.228845457722528372e+06
2.170000000000000000e+02 3.125222609118483206e+02 2.352975020138672087e+06
2.180000000000000000e+02 3.264261617051427606e+02 2.480308482119624503e+06
2.190000000000000000e+02 3.404768304559094076e+02 2.610805330318877008e+06
2.200000000000000000e+02 3.546629558581050219e+02 2.744422147492172662e+06
2.210000000000000000e+02 3.689732271621829227e+02 2.881112618204308208e+06
2.220000000000000000e+02 3.833963397327957523e+02 3.020827536810588092e+06
2.230000000000000000e+02 3.979210005961346610e+02 3.163514817725555506e+06
2.240000000000000000e+02 4.125359339742908560e+02 3.309119507990024053e+06
2.250000000000000000e+02 4.272298868040462594e+02 3.457583802145980299e+06
2.260000000000000000e+02 4.419916342374878582e+02 3.608847059427258093e+06
2.270000000000000000e+02 4.568099851218786398e+02 3.762845823272516951e+06
2.280000000000000000e+02 4.716737874561994772e+02 3.919513843165280763e+06
2.290000000000000000e+02 4.865719338218127632e+02 4.078782098804392852e+06
2.300000000000000000e+02 5.014933667846879644e+02 4.240578826606445946e+06
2.310000000000000000e+02 5.164270842666746830e+02 4.404829548540415242e+06
2.320000000000000000e+02 5.313621448832816441e+02 4.571457103292736225e+06
2.330000000000000000e+02 5.462876732454908506e+02 4.740381679759894498e+06
2.340000000000000000e+02 5.611928652230986927e+02 4.911520852863516659e+06
2.350000000000000000e+02 5.760669931671345694e+02 5.084789621681632474e+06
2.360000000000000000e+02 5.908994110889118474e+02 5.260100449888000265e+06
2.370000000000000000e+02 6.056795597932875808e+02 5.437363308489750139e+06
2.380000000000000000e+02 6.203969719637397020e+02 5.616485720852033235e+06
2.390000000000000000e+02 6.350412771968669858e+02 5.797372809996476397e+06
2.400000000000000000e+02 6.496022069839935966e+02 5.979927348159027286e+06
2.410000000000000000e+02 6.640695996375164896e+02 6.164049808590542525e+06
2.420000000000000000e+02 6.784334051597347752e+02 6.349638419582434930e+06
2.430000000000000000e+02 6.926836900518558195e+02 6.536589220697443001e+06
2.440000000000000000e+02 7.068106420609780116e+02 6.724796121184585616e+06
2.450000000000000000e+02 7.208045748627929470e+02 6.914150960554957390e+06
2.460000000000000000e+02 7.346559326778781269e+02 7.104543571294252761e+06
2.470000000000000000e+02 7.483552948193968177e+02 7.295861843685510568e+06
2.480000000000000000e+02 7.618933801701009543e+02 7.487991792714340612e+06
2.490000000000000000e+02 7.752610515865776506e+02 7.680817627027388662e+06
2.500000000000000000e+02 7.884493202286603264e+02 7.874221819912709296e+06
2.510000000000000000e+02 8.014493498120385766e+02 8.068085182269820012e+06
2.520000000000000000e+02 8.142524607820491838e+02 8.262286937534776516e+06
2.530000000000000000e+02 8.268501344067732362e+02 8.456704798525108024e+06
2.540000000000000000e+02 8.392340167874768895e+02 8.651215046166589484e+06
2.550000000000000000e+02 8.513959227846195290e+02 8.845692610063808039e+06
2.560000000000000000e+02 8.633278398575449728e+02 9.040011150873437524e+06
2.570000000000000000e+02 8.750219318161357478e+02 9.234043144438870251e+06
2.580000000000000000e+02 8.864705424826728404e+02 9.427659967642601579e+06
2.590000000000000000e+02 8.976661992622358639e+02 9.620731985931735486e+06
2.600000000000000000e+02 9.086016166199799500e+02 9.813128642470186576e+06
2.610000000000000000e+02 9.192696994637084345e+02 1.000471854887004010e+07
2.620000000000000000e+02 9.296635464301942875e+02 1.019536957745308429e+07
2.630000000000000000e+02 9.397764530737222231e+02 1.038494895499183238e+07
2.640000000000000000e+02 9.496019149554202841e+02 1.057332335787854530e+07
2.650000000000000000e+02 9.591336306319500409e+02 1.076035900866893679e+07
2.660000000000000000e+02 9.683655045422049170e+02 1.094592177394629642e+07
2.670000000000000000e+02 9.772916497907001485e+02 1.112987726345034316e+07
2.680000000000000000e+02 9.859063908263875646e+02 1.131209093041387759e+07
2.690000000000000000e+02 9.942042660156781722e+02 1.149242817304907739e+07
2.700000000000000000e+02 1.002180030108525898e+03 1.167075443712437712e+07
2.710000000000000000e+02 1.009828656596439032e+03 1.184693531957121007e+07
2.720000000000000000e+02 1.017145339961372429e+03 1.202083667305929027e+07
2.730000000000000000e+02 1.024125497814485243e+03 1.219232471147767641e+07
2.740000000000000000e+02 1.030764772923815372e+03 1.236126611625805683e+07
2.750000000000000000e+02 1.037059035129960648e+03 1.252752814347549714e+07
2.760000000000000000e+02 1.043004383148924262e+03 1.269097873166108504e+07
2.770000000000000000e+02 1.048597146261319722e+03 1.285148661025973968e+07
2.780000000000000000e+02 1.053833885887205270e+03 1.300892140866587870e+07
2.790000000000000000e+02 1.058711397045853118e+03 1.316315376576846093e+07
2.800000000000000000e+02 1.063226709699825051e+03 1.331405543993630446e+07
2.810000000000000000e+02 1.067377089982777534e+03 1.346149941937368363e+07
2.820000000000000000e+02 1.071160041310470433e+03 1.360536003277550079e+07
2.830000000000000000e+02 1.074573305374522761e+03 1.374551306021072716e+07
2.840000000000000000e+02 1.077614863018498454e+03 1.388183584416194446e+07
2.850000000000000000e+02 1.080282934995963160e+03 1.401420740064832196e+07
2.860000000000000000e+02 1.082575982610233268e+03 1.414250853035892732e+07
2.870000000000000000e+02 1.084492708235552755e+03 1.426662192972239852e+07
2.880000000000000000e+02 1.086032055719523669e+03 1.438643230183880962e+07
2.890000000000000000e+02 1.087193210666667710e+03 1.450182646719909832e+07
2.900000000000000000e+02 1.087975600603029989e+03 1.461269347411680035e+07
2.910000000000000000e+02 1.088378895021824519e+03 1.471892470879677683e+07
2.920000000000000000e+02 1.088403005310153048e+03 1.482041400496512838e+07
2.930000000000000000e+02 1.088048084556893855e+03 1.491705775298424624e+07
2.940000000000000000e+02 1.087314527241922406e+03 1.500875500837692618e+07
2.950000000000000000e+02 1.086202968806859644e+03 1.509540759968295135e+07
2.960000000000000000e+02 1.084714285107624846e+03 1.517692023557183892e+07
2.970000000000000000e+02 1.082849591749110232e+03 1.525320061113509908e+07
2.980000000000000000e+02 1.080610243302354320e+03 1.532415951328146458e+07
2.990000000000000000e+02 1.077997832404643987e+03 1.538971092515842430e+07
3.000000000000000000e+02 1.075014188743041586e+03 1.544977212952380814e+07
3.010000000000000000e+02 1.071661377921874646e+03 1.550426381099090725e+07
3.020000000000000000e+02 1.067941700214778166e+03 1.555311015707090311e+07
3.030000000000000000e+02 1.063857689201965968e+03 1.559623895793697797e+07
3.040000000000000000e+02 1.059412110293410478e+03 1.563358170483407192e+07
3.050000000000000000e+02 1.054607959138708793e+03 1.566507368705916405e+07
3.060000000000000000e+02 1.049448459924446752e+03 1.569065408743714169e+07
3.070000000000000000e+02 1.043937063559917533e+03 1.571026607621748000e+07
3.080000000000000000e+02 1.038077445752137010e+03 1.572385690331806615e+07
3.090000000000000000e+02 1.031873504971093098e+03 1.573137798884209618e+07
3.100000000000000000e+02 1.025329360306296849e+03 1.573278501179572009e+07
3.110000000000000000e+02 1.018449349215665279e+03 1.572803799693343975e+07
3.120000000000000000e+02 1.011238025167895330e+03 1.571710139966008998e+07
3.130000000000000000e+02 1.003700155179488092e+03 1.569994418891821429e+07
3.140000000000000000e+02 9.958407172476482856e+02 1.567653992799063586e+07
3.150000000000000000e+02 9.876648976803397773e+02 1.564686685314898938e+07
3.160000000000000000e+02 9.791780883248144391e+02 1.561090795007962734e+07
3.170000000000000000e+02 9.703858836959863083e+02 1.556865102801935934e+07
3.180000000000000000e+02 9.612940780060598627e+02 1.552008879153427295e+07
3.190000000000000000e+02 9.519086620968979560e+02 1.546521890987640806e+07
3.200000000000000000e+02 9.422358202766005206e+02 1.540404408385309577e+07
3.210000000000000000e+02 9.322819270618862220e+02 1.533657211014617607e+07
3.220000000000000000e+02 9.220535438278515130e+02 1.526281594301839545e+07
3.230000000000000000e+02 9.115574153667459996e+02 1.518279375334586017e+07
3.240000000000000000e+02 9.008004663574673714e+02 1.509652898491701111e+07
3.250000000000000000e+02 8.897897977474771096e+02 1.500405040793915838e+07
3.260000000000000000e+02 8.785326830489199210e+02 1.490539216969558597e+07
3.270000000000000000e+02 8.670365645507374666e+02 1.480059384229711629e+07
3.280000000000000000e+02 8.553090494486405078e+02 1.468970046747399308e+07
3.290000000000000000e+02 8.433579058948008651e+02 1.457276259835471213e+07
3.300000000000000000e+02 8.311910589691966607e+02 1.444983633818049170e+07
3.310000000000000000e+02 8.188165865745702376e+02 1.432098337590552121e+07
3.320000000000000000e+02 8.062427152569717919e+02 1.418627101863416657e+07
3.330000000000000000e+02 7.934778159539407625e+02 1.404577222084893286e+07
3.340000000000000000e+02 7.805303996723631599e+02 1.389956561038357206e+07
3.350000000000000000e+02 7.674091130981104243e+02 1.374773551109820977e+07
3.360000000000000000e+02 7.541227341395781423e+02 1.359037196221468411e+07
3.370000000000000000e+02 7.406801674072808055e+02 1.342757073427220434e+07
3.380000000000000000e+02 7.270904396316788052e+02 1.325943334166505747e+07
3.390000000000000000e+02 7.133626950214710405e+02 1.308606705172648653e+07
3.400000000000000000e+02 6.995061905645632123e+02 1.290758489032375626e+07
3.410000000000000000e+02 6.855302912739971362e+02 1.272410564393227175e+07
3.420000000000000000e+02 6.714444653811328863e+02 1.253575385815816373e+07
3.430000000000000000e+02 6.572582794783824056e+02 1.234265983268042468e+07
3.440000000000000000e+02 6.429813936138549479e+02 1.214495961258639395e+07
3.450000000000000000e+02 6.286235563402461821e+02 1.194279497607540898e+07
3.460000000000000000e+02 6.141945997203869183e+02 1.173631341850879788e+07
3.470000000000000000e+02 5.997044342918085249e+02 1.152566813278483227e+07
3.480000000000000000e+02 5.851630439927896532e+02 1.131101798602117598e+07
3.490000000000000000e+02 5.705804810522738535e+02 1.109252749252763577e+07
3.500000000000000000e+02 5.559668608461540771e+02 1.087036678305592760e+07
3.510000000000000000e+02 5.413323567223509372e+02 1.064471157031375170e+07
3.520000000000000000e+02 5.266871947971937971e+02 1.041574311073387973e+07
3.530000000000000000e+02 5.120416487255861284e+02 1.018364816249049827e+07
3.540000000000000000e+02 4.974060344474509634e+02 9.948618939757226035e+06
3.550000000000000000e+02 4.827907049129980237e+02 9.710853063204228878e+06
3.560000000000000000e+02 4.682060447892970956e+02 9.470553506732754409e+06
3.570000000000000000e+02 4.536624651507311796e+02 9.227928540449323133e+06
3.580000000000000000e+02 4.391703981558276837e+02 8.983191669882422313e+06
3.590000000000000000e+02 4.247402917130459059e+02 8.736561571448346600e+06
3.600000000000000000e+02 4.103826041380388574e+02 8.488262024173840880e+06
3.610000000000000000e+02 3.961077988049612486e+02 8.238521837686494924e+06
3.620000000000000000e+02 3.819263387943647672e+02 7.987574776485553943e+06
3.630000000000000000e+02 3.678486815402363277e+02 7.735659480508346111e+06
3.640000000000000000e+02 3.538852734787311647e+02 7.483019382009828463e+06
3.650000000000000000e+02 3.400465447011524134e+02 7.229902618775104173e+06
3.660000000000000000e+02 3.263429036137212051e+02 6.976561943686975166e+06
3.670000000000000000e+02 3.127847316066832946e+02 6.723254630673081614e+06
3.680000000000000000e+02 2.993823777352876050e+02 6.470242377059373073e+06
3.690000000000000000e+02 2.861461534151706019e+02 6.217791202359107323e+06
3.700000000000000000e+02 2.730863271346605075e+02 5.966171343528608792e+06
3.710000000000000000e+02 2.602131191865301503e+02 5.715657146723866463e+06
3.720000000000000000e+02 2.475366964216858321e+02 5.466526955593692139e+06
3.730000000000000000e+02 2.350671670272963354e+02 5.219062996148017235e+06
3.740000000000000000e+02 2.228145753318350444e+02 4.973551258241870441e+06
3.750000000000000000e+02 2.107888966395033492e+02 4.730281373717962764e+06
3.760000000000000000e+02 1.990000320964847731e+02 4.489546491253063083e+06
3.770000000000000000e+02 1.874578035914684051e+02 4.251643147955664434e+06
3.780000000000000000e+02 1.761719486928539880e+02 4.016871137764499523e+06
3.790000000000000000e+02 1.651521156250354068e+02 3.785533376699718647e+06
3.800000000000000000e+02 1.544078582861589268e+02 3.557935765021219850e+06
3.810000000000000000e+02 1.439486313096874994e+02 3.334387046349726152e+06
3.820000000000000000e+02 1.337837851721402274e+02 3.115198663809789345e+06
3.830000000000000000e+02 1.239225613492893245e+02 2.900684613254516851e+06
3.840000000000000000e+02 1.143740875231362679e+02 2.691161293635417707e+06
3.850000000000000000e+02 1.051473728419034899e+02 2.486947354581445456e+06
3.860000000000000000e+02 9.625130323530947862e+01 2.288363541254703887e+06
3.870000000000000000e+02 8.769463678731561629e+01 2.095732536551113939e+06
3.880000000000000000e+02 7.948599916854229264e+01 1.909378800717189675e+06
3.890000000000000000e+02 7.163387913051266764e+01 1.729628408455829136e+06
